c1,c2,stim,nparses,ratingcmp,ratingC1,ratingC2,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
wheel,base,wheelbase,1,65.099998,72.650002,67.699997,8.6,-0.36915888,-0.394313761,1
wheel,bases,wheelbases,1,50.52,82.080002,64.639999,8.6,-0.36915888,-0.394313761,1
data,bases,databases,1,76,88.238098,72.285713,11.5,0.204263778,0.153605767,1
hand,basin,handbasin,1,69.619049,78.666664,79.428574,7.33,-0.364368351,-0.395126906,1
wash,basin,washbasin,1,86.310349,89.310349,83.068962,8.2,-0.368110014,-0.390390487,1
wash,basins,washbasins,1,81.633331,89.666664,83.699997,8.2,-0.368110014,-0.390390487,1
work,basket,workbasket,1,67.666664,67.366669,75.76667,6.78,-0.376818783,-0.400374046,1
bread,basket,breadbasket,1,77.054054,82.24324,90.189186,7.33,-0.364368351,-0.395126906,1
hand,basket,handbasket,1,80.290321,74.3871,91.741936,7.33,-0.364368351,-0.395126906,1
waste,basket,wastebasket,1,75.891891,88.054054,86.648651,10.2,-0.311252275,-0.34153833,1
work,baskets,workbaskets,1,66.541664,56.083332,86.25,6.78,-0.376818783,-0.400374046,1
bread,baskets,breadbaskets,1,87.931038,81.034485,83.172417,7.33,-0.364368351,-0.395126906,1
waste,baskets,wastebaskets,1,85.919998,86.279999,90.760002,10.2,-0.311252275,-0.34153833,1
blood,bath,bloodbath,1,60.864864,86.351349,40.756756,7.33,-0.364368351,-0.395126906,1
foot,bath,footbath,1,81.375,84.625,86,8.43,-0.368585006,-0.373494219,1
bird,bath,birdbath,1,87.566666,85.099998,86.300003,7.33,-0.364368351,-0.395126906,1
eye,bath,eyebath,1,53.954544,79.11364,62.113636,10.2,-0.311252275,-0.34153833,1
sun,bather,sunbather,1,71,91.5,60.25,8.42,-0.370885802,-0.395060031,1
sun,bathers,sunbathers,1,77.428574,70.285713,51.25,8.42,-0.370885802,-0.395060031,1
bird,baths,birdbaths,1,90.10714,89.285713,85.035713,7.33,-0.364368351,-0.395126906,1
blood,baths,bloodbaths,1,66.916664,77.583336,41.166668,7.33,-0.364368351,-0.395126906,1
half,beak,halfbeak,1,50.625,58.625,56.958332,4.32,-0.377952406,-0.401414726,1
sun,beam,sunbeam,1,82.769234,85.333336,76.564102,8.42,-0.370885802,-0.395060031,1
moon,beam,moonbeam,1,60.575001,72.300003,69.5,8.42,-0.370885802,-0.395060031,1
cross,beam,crossbeam,1,77.896553,80.758621,85.068962,8.59,-0.356676664,-0.378338393,1
sun,beams,sunbeams,1,84.821426,85.962959,76.296295,8.42,-0.370885802,-0.395060031,1
cross,beams,crossbeams,1,70.559998,69.959999,79.599998,8.59,-0.356676664,-0.378338393,1
moon,beams,moonbeams,1,77.32,88.800003,68.760002,8.42,-0.370885802,-0.395060031,1
soy,bean,soybean,1,80.648651,82.054054,89.540543,8.22,-0.240416714,-0.333869389,1
soy,beans,soybeans,1,85.517242,82.517242,93.310349,8.22,-0.240416714,-0.333869389,1
grey,beard,greybeard,1,75.666664,79.26667,84.300003,8.22,-0.240416714,-0.333869389,1
gray,beard,graybeard,1,79.73333,88.23333,87.400002,8.22,-0.240416714,-0.333869389,1
goats,beard,goatsbeard,1,55.360001,57.083332,74.708336,8.59,-0.356676664,-0.378338393,1
long,beard,longbeard,1,71.919998,80.32,83.040001,5.36,-0.377779361,-0.401226698,1
gray,beards,graybeards,1,74.548386,83.032257,86.709679,8.22,-0.240416714,-0.333869389,1
train,bearer,trainbearer,1,68.241379,70.275864,54.068966,8.42,-0.370885802,-0.395060031,1
mace,bearer,macebearer,1,52.965519,70.620689,78.448273,10.2,-0.311252275,-0.34153833,1
cup,bearer,cupbearer,1,68.965515,80.714287,78.75,6.81,-0.376751684,-0.400548104,1
tale,bearer,talebearer,1,56.113636,72.11364,71.13636,10.2,-0.311252275,-0.34153833,1
torch,bearer,torchbearer,1,80.074074,85,82.153847,8.2,-0.368110014,-0.390390487,1
tale,bearers,talebearers,1,51.653847,65.5,65.653847,10.2,-0.311252275,-0.34153833,1
torch,bearers,torchbearers,1,82.604164,84.872337,86.255318,8.2,-0.368110014,-0.390390487,1
child,bearing,childbearing,1,81.033333,83.26667,74.199997,7.33,-0.364368351,-0.395126906,1
down,beat,downbeat,1,54.966667,51.700001,65.033333,8.42,-0.370885802,-0.395060031,1
